VARNAMES: CID HOSTGAL_LOGMASS
SN: PSc070767 9.019
SN: PSc070771 10.381
SN: PSc070806 9.774
SN: PSc070813 7.723
SN: PSc070839 9.733
SN: PSc070841 8.866
SN: PSc070858 8.607
SN: PSc070877 10.372
SN: PSc070914 -9
SN: PSc070932 -9
SN: PSc070948 10.592
SN: PSc070950 9.982
SN: PSc070955 9.019
SN: PSc070961 10.213
SN: PSc070968 11.434
SN: PSc070985 10.88
SN: PSc070986 8.643
SN: PSc070987 8.459
SN: PSc070992 8.008
SN: PSc071007 10.323
SN: PSc071011 10.194
SN: PSc071017 10.024
SN: PSc071032 10.844
SN: PSc071035 8.46
SN: PSc071060 9.411
SN: PSc071072 8.848
SN: PSc071096 10.877
SN: PSc071113 10.781
SN: PSc071149 9.679
SN: PSc071164 9.592
SN: PSc071171 10.37
SN: PSc071203 10.495
SN: PSc071213 9.437
SN: PSc071231 11.001
SN: PSc071245 11.137
SN: PSc071258 9.406
SN: PSc080010 9.031
SN: PSc080012 10.368
SN: PSc080015 9.726
SN: PSc080021 8.992
SN: PSc080023 10.529
SN: PSc080028 11.515
SN: PSc080031 9.284
SN: PSc080034 11.431
SN: PSc080048 10.999
SN: PSc080049 9.034
SN: PSc080052 10.05
SN: PSc080054 9.234
SN: PSc080064 8.944
SN: PSc080067 9.825
SN: PSc080068 -9
SN: PSc080069 7.745
SN: PSc080072 9.765
SN: PSc080077 10.712
SN: PSc080078 11.477
SN: PSc080079 8.039
SN: PSc080081 10.519
SN: PSc080087 10.102
SN: PSc080090 9.678
SN: PSc080093 9.74
SN: PSc080098 9.909
SN: PSc080103 8.154
SN: PSc080108 9.568
SN: PSc080135 9.914
SN: PSc080143 8.371
SN: PSc080146 9.689
SN: PSc080154 9.786
SN: PSc080160 9.877
SN: PSc080165 7.274
SN: PSc080175 11.082
SN: PSc080206 8.761
SN: PSc080233 10.783
SN: PSc080238 9.48
SN: PSc080241 10.374
SN: PSc080242 9.879
SN: PSc080252 8.98
SN: PSc080253 -9
SN: PSc080257 10.873
SN: PSc080260 10.913
SN: PSc080261 8.9
SN: PSc080273 10.612
SN: PSc080277 -9
SN: PSc080284 11.42
SN: PSc080289 8.588
SN: PSc080292 9.632
SN: PSc080295 9.49
SN: PSc080296 11.152
SN: PSc080300 9.488
SN: PSc080308 10.106
SN: PSc080316 9.199
SN: PSc080325 8.887
SN: PSc080337 10.974
SN: PSc080343 9.24
SN: PSc080347 -9
SN: PSc080352 10.623
SN: PSc080363 10.664
SN: PSc080364 10.169
SN: PSc080367 7.578
SN: PSc080380 10.436
SN: PSc080431 10.055
SN: PSc080432 6.795
SN: PSc080438 10.226
SN: PSc080441 9.22
SN: PSc080455 10.178
SN: PSc080491 10.882
SN: PSc080492 10.918
SN: PSc080516 -9
SN: PSc080517 9.215
SN: PSc080536 10.537
SN: PSc080546 9.494
SN: PSc080554 10.046
SN: PSc080555 10.888
SN: PSc080624 10.033
SN: PSc080646 10.236
SN: PSc080689 9.887
SN: PSc080693 10.793
SN: PSc080713 8.396
SN: PSc080723 9.406
SN: PSc080735 8.652
SN: PSc080741 9.827
SN: PSc080744 -9
SN: PSc080755 10.798
SN: PSc080757 9.775
SN: PSc080762 -9
SN: PSc080764 9.209
SN: PSc080765 -9
SN: PSc080766 -9
SN: PSc080768 9.162
SN: PSc080771 9.738
SN: PSc080772 9.577
SN: PSc080788 9.403
SN: PSc080790 9.059
SN: PSc090019 9.369
SN: PSc090022 -9
SN: PSc090025 8.801
SN: PSc090027 9.753
SN: PSc090034 7.354
SN: PSc090037 9.842
SN: PSc090040 9.704
SN: PSc090043 9.309
SN: PSc090050 10.908
SN: PSc090054 10.2
SN: PSc090056 10.191
SN: PSc090059 11.028
SN: PSc090064 10.342
SN: PSc090068 8.54
SN: PSc090071 9.253
SN: PSc090072 10.164
SN: PSc090073 -9
SN: PSc090091 10.194
SN: PSc090097 11.21
SN: PSc090106 10.503
SN: PSc090107 11.219
SN: PSc090112 8.868
SN: PSc090128 10.844
SN: PSc090129 8.401
SN: PSc090130 9.484
SN: PSc090147 9.966
SN: PSc090154 9.428
SN: PSc090179 11.122
SN: PSc090191 7.966
SN: PSc090196 10.307
SN: PSc090199 7.447
SN: PSc090201 9.943
SN: PSc090214 9.303
SN: PSc090227 9.215
SN: PSc090238 9.974
SN: PSc090244 10.19
SN: PSc090245 9.192
SN: PSc090246 8.988
SN: PSc090256 10.399
SN: PSc090268 10.559
SN: PSc090269 8.543
SN: PSc090275 10.56
SN: PSc090298 10.962
SN: PSc090352 10.898
SN: PSc090356 9.125
SN: PSc090387 10.919
SN: PSc090401 10.596
SN: PSc090431 11.088
SN: PSc090442 9.834
SN: PSc090454 10.876
SN: PSc090486 -9
SN: PSc090493 9.627
SN: PSc090506 9.065
SN: PSc090534 9.673
SN: PSc090544 10.542
SN: PSc090551 10.603
SN: PSc090566 8.734
SN: PSc090583 9.592
SN: PSc090638 11.025
SN: PSc090705 -9
SN: PSc090746 10.786
SN: PSc090757 10.725
SN: PSc090759 10.251
SN: PSc090814 -9
SN: PSc090815 9.529
SN: PSc090822 10.305
SN: PSc090841 9.605
SN: PSc090924 10.845
SN: PSc090932 9.969
SN: PSc090966 9.004
SN: PSc090999 10.219
SN: PSc091034 9.655
SN: PSc091037 9.743
SN: PSc091038 11.263
SN: PSc091039 10.044
SN: PSc091166 10.938
SN: PSc091430 10.66
