# zHD       = redshift in CMB frame with VPEC correction
# zHEL      = helio redshift (beware: no VPEC corr) 
# MU        = distance modulus corrected for bias and contamination
# MUERR     = stat-uncertainty on MU 
# MUERR_SYS = sqrt(COVSYS_DIAG) for 'ALL' sys (diagnostic)
# ISDATA_REAL: 1   # flag for cosmology fitter to choose blind option
#
VARNAMES: CID IDSURVEY zHD zHEL MU MUERR MUERR_VPEC MUERR_SYS
SN: PSc090196   15 0.32970 0.33050 41.25341  0.14390  0.00000  0.01050
SN: PSc090201   15 0.50880 0.51000 42.11714  0.14170  0.00000  0.01011
SN: PSc090214   15 0.37190 0.37242 41.45259  0.12330  0.00000  0.05448
SN: PSc090238   15 0.48710 0.48833 42.09324  0.15370  0.00000  0.02892
SN: PSc090256   15 0.12280 0.12400 38.88282  0.20430  0.00000  0.19614
SN: PSc090268   15 0.20960 0.21004 40.07947  0.14940  0.00000  0.01751
SN: PSc090275   15 0.13960 0.14000 39.06734  0.12760  0.00000  0.01180
SN: PSc090401   15 0.46620 0.46677 42.57005  0.21630  0.00000  0.04517
SN: PSc090638   15 0.25340 0.25420 40.64489  0.12770  0.00000  0.01437
SN: PSc090746   15 0.21950 0.21900 40.13626  0.23020  0.00000  0.07644
SN: PSc090966   15 0.59240 0.59360 42.36469  0.18780  0.00000  0.09893
SN: PSc091037   15 0.49540 0.49659 42.04077  0.14600  0.00000  0.02351
SN: PSc091437   15 0.46520 0.46600 41.60710  0.17810  0.00000  0.08039
SN: PSc091739   15 0.37310 0.37390 41.55409  0.16270  0.00000  0.01299
SN: PSc091748   15 0.14450 0.14490 39.09836  0.17400  0.00000  0.02602
SN: PSc091869   15 0.28880 0.29000 40.79281  0.18510  0.00000  0.00970
SN: PSc100014   15 0.30880 0.31000 41.00500  0.15410  0.00000  0.04238
SN: PSc100015   15 0.45070 0.45010 41.71546  0.14030  0.00000  0.03184
SN: PSc100051   15 0.27180 0.27227 40.61292  0.18040  0.00000  0.01208
SN: PSc100090   15 0.17270 0.17210 39.90127  0.19960  0.00000  0.02760
SN: PSc100101   15 0.42940 0.42880 42.16343  0.18940  0.00000  0.03188
SN: PSc100102   15 0.37080 0.37020 41.71324  0.23540  0.00000  0.01473
SN: PSc100103   15 0.56360 0.56310 42.68322  0.15200  0.00000  0.01785
SN: PSc100116   15 0.44780 0.44820 41.82191  0.15980  0.00000  0.01375
SN: PSc100121   15 0.30860 0.30980 41.31168  0.42770  0.00000  0.07014
SN: PSc100163   15 0.31800 0.31880 41.20873  0.20890  0.00000  0.01513
SN: PSc100164   15 0.40490 0.40570 41.87688  0.19900  0.00000  0.02911
SN: PSc100202   15 0.34240 0.34292 41.64543  0.17090  0.00000  0.01601
SN: PSc100206   15 0.21660 0.21700 39.95664  0.11910  0.00000  0.01991
SN: PSc100213   15 0.27520 0.27560 40.87066  0.22240  0.00000  0.01741
SN: PSc100382   15 0.37960 0.37900 41.48948  0.20970  0.00000  0.04302
SN: PSc100405   15 0.10300 0.10340 38.19517  0.18080  0.00000  0.04756
SN: PSc100417   15 0.48280 0.48220 42.32335  0.26830  0.00000  0.07355
SN: PSc100421   15 0.25770 0.25810 40.90880  0.18500  0.00000  0.03502
SN: PSc110014   15 0.32720 0.32840 41.17129  0.23320  0.00000  0.03022
SN: PSc110022   15 0.50750 0.50700 42.09000  0.25710  0.00000  0.03384
SN: PSc110033   15 0.20490 0.20570 39.85830  0.20080  0.00000  0.04336
SN: PSc110425   15 0.38060 0.38000 41.51123  0.16570  0.00000  0.02172
SN: PSc110426   15 0.54060 0.54000 42.40855  0.18580  0.00000  0.02122
SN: PSc110429   15 0.43980 0.43930 41.86511  0.16420  0.00000  0.02508
SN: PSc110430   15 0.42060 0.42000 41.73799  0.19620  0.00000  0.04034
SN: PSc110431   15 0.34260 0.34200 41.02999  0.23050  0.00000  0.10980
SN: PSc110460   15 0.19960 0.20000 39.88515  0.22640  0.00000  0.03546
SN: PSc110478   15 0.26470 0.26510 40.60045  0.18470  0.00000  0.01299
SN: PSc110484   15 0.51060 0.51000 42.05198  0.16120  0.00000  0.05285
SN: PSc110536   15 0.23480 0.23520 40.09699  0.24100  0.00000  0.08019
SN: PSc110542   15 0.42670 0.42610 41.94713  0.16710  0.00000  0.01090
SN: PSc110567   15 0.21450 0.21490 40.11784  0.21440  0.00000  0.05374
SN: PSc110647   15 0.32150 0.32190 41.20273  0.20510  0.00000  0.01200
SN: PSc110716   15 0.31560 0.31500 41.22797  0.20390  0.00000  0.03583
SN: PSc110719   15 0.42760 0.42700 42.22940  0.19370  0.00000  0.01649
SN: PSc110721   15 0.57790 0.57730 42.44775  0.15430  0.00000  0.04296
SN: PSc110725   15 0.49840 0.49790 42.29086  0.13110  0.00000  0.02841
SN: PSc110726   15 0.54470 0.54410 42.49577  0.14580  0.00000  0.02532
SN: PSc110727   15 0.40670 0.40588 42.53950  0.29580  0.00000  0.01210
SN: PSc110734   15 0.40190 0.40130 41.51122  0.16030  0.00000  0.01354
SN: PSc120039   15 0.32520 0.32410 41.85691  0.33120  0.00000  0.07434
SN: PSc120085   15 0.32180 0.32060 40.82238  0.17660  0.00000  0.03130
SN: PSc120086   15 0.39210 0.39100 41.54417  0.21400  0.00000  0.03856
SN: PSc120094   15 0.45120 0.45000 41.99891  0.11450  0.00000  0.03600
SN: PSc120143   15 0.17350 0.17300 39.38507  0.14530  0.00000  0.01649
SN: PSc120223   15 0.62120 0.62000 42.57507  0.15180  0.00000  0.06353
SN: PSc120249   15 0.58110 0.58017 42.53801  0.09970  0.00000  0.05314
SN: PSc120277   15 0.52540 0.52459 42.53566  0.14300  0.00000  0.01379
SN: PSc120288   15 0.46960 0.46883 42.13147  0.11120  0.00000  0.04471
SN: PSc120304   15 0.37020 0.36861 41.67752  0.21740  0.00000  0.04981
SN: PSc120336   15 0.16120 0.16000 39.38147  0.21240  0.00000  0.03799
SN: PSc120369   15 0.33020 0.32900 41.32468  0.12530  0.00000  0.03256
SN: PSc120400   15 0.35120 0.35000 41.41902  0.11160  0.00000  0.02361
SN: PSc120455   15 0.23200 0.23247 40.18880  0.18290  0.00000  0.03608
SN: PSc120458   15 0.53650 0.53540 42.57228  0.22650  0.00000  0.04369
SN: PSc120542   15 0.26000 0.25933 41.81074 179.73650  0.00000  0.01923
SN: PSc120553   15 0.48310 0.48250 42.34641  0.18410  0.00000  0.04055
SN: PSc120554   15 0.40620 0.40560 41.77461  0.13320  0.00000  0.01476
SN: PSc120567   15 0.35500 0.35450 41.33331  0.19390  0.00000  0.02969
SN: PSc120585   15 0.24920 0.25000 40.48212  0.13450  0.00000  0.03865
SN: PSc120586   15 0.22960 0.23000 40.31458  0.16330  0.00000  0.01633
SN: PSc120635   15 0.50140 0.50020 42.28548  0.17960  0.00000  0.01260
SN: PSc120637   15 0.29380 0.29260 40.54774  0.15410  0.00000  0.03669
SN: PSc120663   15 0.63090 0.62991 42.83800  0.15110  0.00000  0.04627
SN: PSc120665   15 0.54620 0.54442 42.40541  0.11210  0.00000  0.02831
SN: PSc120676   15 0.34950 0.34990 41.32313  0.12030  0.00000  0.04440
SN: PSc120706   15 0.32940 0.32820 40.98990  0.17260  0.00000  0.01954
SN: PSc120713   15 0.41990 0.41940 41.86942  0.20480  0.00000  0.03189
SN: PSc120762   15 0.44210 0.44160 42.24381  0.17560  0.00000  0.04641
SN: PSc130145   15 0.60590 0.60480 42.75063  0.14160  0.00000  0.04187
SN: PSc130150   15 0.21050 0.21000 39.96643  0.19590  0.00000  0.02211
SN: PSc130373   15 0.37410 0.37380 41.38447  0.25650  0.00000  0.02294
SN: PSc130391   15 0.37030 0.36990 41.45885  0.15950  0.00000  0.03096
SN: PSc130490   15 0.39060 0.39000 41.93545  0.24100  0.00000  0.01804
SN: PSc130601   15 0.55740 0.55680 42.55794  0.18540  0.00000  0.02418
SN: PSc130609   15 0.48060 0.48000 41.92750  0.23920  0.00000  0.01642
SN: PSc130684   15 0.41360 0.41310 41.92199  0.21620  0.00000  0.02264
SN: PSc130721   15 0.32480 0.32410 41.42020  0.26310  0.00000  0.00801
SN: PSc130755   15 0.29270 0.29200 40.93458  0.18070  0.00000  0.02045
SN: PSc130756   15 0.32180 0.32087 41.14408  0.24070  0.00000  0.03844
SN: PSc130759   15 0.26170 0.26082 40.79532  0.30040  0.00000  0.07602
SN: PSc130798   15 0.28930 0.28860 40.89631  0.21580  0.00000  0.02074
SN: PSc130842   15 0.31550 0.31461 41.13155  0.21180  0.00000  0.02610
SN: PSc130862   15 0.33270 0.33200 41.41099  0.17670  0.00000  0.01588
SN: PSc130880   15 0.24580 0.24510 40.42094  0.17740  0.00000  0.01869
SN: PSc130997   15 0.30470 0.30400 41.34256  0.21640  0.00000  0.03667
SN: PSc131031   15 0.29650 0.29610 40.88934  0.27980  0.00000  0.05906
