VARNAMES: SALT2c LOGMASS PROB
PDF: -0.090 8.80 0.168
PDF: -0.080 8.80 0.311
PDF: -0.070 8.80 0.505
PDF: -0.060 8.80 0.721
PDF: -0.050 8.80 0.905
PDF: -0.040 8.80 1.000
PDF: -0.030 8.80 0.998
PDF: -0.020 8.80 0.968
PDF: -0.010 8.80 0.917
PDF: 0.000 8.80 0.846
PDF: 0.010 8.80 0.763
PDF: 0.020 8.80 0.670
PDF: 0.030 8.80 0.575
PDF: 0.040 8.80 0.481
PDF: 0.050 8.80 0.393
PDF: 0.060 8.80 0.313
PDF: 0.070 8.80 0.243
PDF: 0.080 8.80 0.184
PDF: 0.090 8.80 0.136
PDF: 0.100 8.80 0.098
PDF: 0.110 8.80 0.069
PDF: 0.120 8.80 0.047
PDF: 0.130 8.80 0.032
PDF: 0.140 8.80 0.021
PDF: 0.150 8.80 0.013
PDF: 0.160 8.80 0.008
PDF: 0.170 8.80 0.005
PDF: 0.180 8.80 0.003
PDF: 0.190 8.80 0.002
PDF: 0.200 8.80 0.001
PDF: 0.210 8.80 0.001
PDF: 0.220 8.80 0.000
PDF: 0.230 8.80 0.000
PDF: 0.240 8.80 0.000
PDF: 0.250 8.80 0.000
PDF: 0.260 8.80 0.000
PDF: 0.270 8.80 0.000
PDF: 0.280 8.80 0.000
PDF: 0.290 8.80 0.000
PDF: 0.300 8.80 0.000
PDF: 0.310 8.80 0.000
PDF: 0.320 8.80 0.000
PDF: 0.330 8.80 0.000
PDF: 0.340 8.80 0.000
PDF: 0.350 8.80 0.000
PDF: 0.360 8.80 0.000
PDF: 0.370 8.80 0.000
PDF: 0.380 8.80 0.000
PDF: 0.390 8.80 0.000
PDF: 0.400 8.80 0.000
PDF: 0.410 8.80 0.000
PDF: 0.420 8.80 0.000
PDF: 0.430 8.80 0.000
PDF: 0.440 8.80 0.000
PDF: 0.450 8.80 0.000
PDF: 0.460 8.80 0.000
PDF: 0.470 8.80 0.000
PDF: 0.480 8.80 0.000
PDF: 0.490 8.80 0.000
PDF: -0.500 9.00 0.000
PDF: -0.490 9.00 0.000
PDF: -0.480 9.00 0.000
PDF: -0.470 9.00 0.000
PDF: -0.460 9.00 0.000
PDF: -0.450 9.00 0.000
PDF: -0.440 9.00 0.000
PDF: -0.430 9.00 0.000
PDF: -0.420 9.00 0.000
PDF: -0.410 9.00 0.000
PDF: -0.400 9.00 0.000
PDF: -0.390 9.00 0.000
PDF: -0.380 9.00 0.000
PDF: -0.370 9.00 0.000
PDF: -0.360 9.00 0.000
PDF: -0.350 9.00 0.000
PDF: -0.340 9.00 0.000
PDF: -0.330 9.00 0.000
PDF: -0.320 9.00 0.000
PDF: -0.310 9.00 0.000
PDF: -0.300 9.00 0.000
PDF: -0.290 9.00 0.000
PDF: -0.280 9.00 0.000
PDF: -0.270 9.00 0.000
PDF: -0.260 9.00 0.000
PDF: -0.250 9.00 0.000
PDF: -0.240 9.00 0.000
PDF: -0.230 9.00 0.000
PDF: -0.220 9.00 0.000
PDF: -0.210 9.00 0.000
PDF: -0.200 9.00 0.000
PDF: -0.190 9.00 0.000
PDF: -0.180 9.00 0.000
PDF: -0.170 9.00 0.000
PDF: -0.160 9.00 0.000
PDF: -0.150 9.00 0.000
PDF: -0.140 9.00 0.000
PDF: -0.130 9.00 0.001
PDF: -0.120 9.00 0.006
PDF: -0.110 9.00 0.019
PDF: -0.100 9.00 0.054
PDF: -0.090 9.00 0.131
PDF: -0.080 9.00 0.272
PDF: -0.070 9.00 0.478
PDF: -0.060 9.00 0.718
PDF: -0.050 9.00 0.918
PDF: -0.040 9.00 1.000
PDF: -0.030 9.00 0.989
PDF: -0.020 9.00 0.955
PDF: -0.010 9.00 0.900
PDF: 0.000 9.00 0.828
PDF: 0.010 9.00 0.744
PDF: 0.020 9.00 0.653
PDF: 0.030 9.00 0.559
PDF: 0.040 9.00 0.468
